U,2.,5.0.4.,3.
H,292.9117800453516,3,2
H,293.3955291005292,3,3
H,294.24692743764183,3,3
H,295.0983257747544,3,3
H,295.2918253968255,3,2
L,5,295.5877607709749,304.5877607709749
P,3,0.4.5.,9.5.9.
H,295.5240249433107,3,3
H,295.67882464096755,3,2
H,297.1881216931218,3,3
H,298.02518518518525,3,3
H,298.2186848072563,3,2
H,298.52828420257,3,3
H,298.77983371126226,3,2
H,299.8634315948602,3,3
H,300.8502796674225,3,3
H,301.10182917611496,3,2
H,301.4114285714286,3,3
H,301.66297808012104,3,2
H,301.97257747543466,3,3
H,302.18542705971277,3,2
H,302.49502645502645,3,3
H,302.8239758125473,3,2
H,303.1529251700681,3,3
H,303.4431746031746,3,2
H,303.7140740740742,3,3
H,303.94627362055934,3,2
H,304.255873015873,3,3
H,304.4687226001512,3,2
H,304.778321995465,3,3
H,304.9331216931217,3,2
H,305.3007709750567,3,3
H,305.8812698412699,3,3
H,306.3650188964475,3,3
H,307.1196674225246,3,3
H,308.18391534391543,3,3
H,309.209463340892,3,2
H,310.138261526833,3,2
H,310.85421012849594,3,2
H,311.2992592592593,3,2
H,312.0152078609222,3,2
H,312.8279062736206,3,2
H,313.6986545729403,3,2
H,314.3532199546485,3,2
H,314.7789191232049,3,2
H,315.63031746031754,3,2
H,316.1527664399094,3,2
L,0,316.75874905517765,325.75874905517765
P,3,0.4.5.,6.5.9.
H,316.9074149659865,3,2
H,317.9329629629631,3,2
H,318.5715117157975,3,2
H,319.2681103552533,3,2
H,320.0034089191232,3,2
H,320.68065759637193,3,2
H,321.4740060468633,3,2
H,322.05450491307636,3,2
H,322.40280423280427,3,2
H,322.712403628118,3,2
H,323.0800529100529,3,2
H,323.3509523809525,3,3
H,323.71860166288747,3,2
H,324.16365079365085,3,3
H,324.4732501889645,3,2
H,324.82154950869244,3,3
H,325.07309901738483,3,2
H,325.44074829931986,3,3
H,325.7890476190477,3,2
H,326.0792970521543,3,3
H,326.38889644746797,3,2
H,326.73719576719583,3,3
H,327.0661451247166,3,2
H,327.3563945578232,3,3
H,327.66599395313693,3,2
H,327.9562433862435,3,3
H,328.30454270597136,3,2
H,328.5947921390779,3,3
H,328.94309145880584,3,2
H,329.40749055177633,3,3
H,331.9633144368858,3,3
H,334.11116024187453,3,2
H,336.2203061224489,3,3
H,338.0972524565381,3,2
H,338.8325510204081,3,3
H,341.07714663643236,3,2
H,342.9153930461073,3,3
H,344.9664890400604,3,2
L,0,345.4771012849584,351.4771012849584
P,3,0.4.5.,6.5.9.
H,345.77918745275883,3,3
H,347.7302003023431,3,2
H,348.7557482993197,3,3
H,351.00034391534393,3,2
L,5,351.93452569916843,360.93452569916843
P,3,0.4.5.,6.5.6.
H,352.0452418745275,3,3
H,352.9546900982615,3,2
H,355.02513605442175,3,2
H,355.8378344671201,3,3
H,356.84403250188956,3,2
H,359.0112282690854,3,3
H,359.5143272864701,3,2
H,360.5398752834467,3,3
H,361.0429743008314,3,2
H,361.9524225245653,3,3
H,362.7844708994708,3,3
H,363.2488699924414,3,2
H,364.00351851851843,3,3
H,364.413201058201,3,2
H,365.24524943310655,3,3
H,366.1353476946334,3,3
H,366.4836470143613,3,2
H,367.2189455782312,3,3
H,367.48984504913074,3,2
H,368.30254346182915,3,3
H,369.27004157218437,3,3
H,369.71509070294786,3,2
H,371.99838624338616,3,3
H,372.19188586545727,3,2
H,372.8497845804988,3,3
H,372.9658843537415,3,2
H,373.4689833711262,3,3
H,373.64313303099016,3,2
H,376.1779780801209,3,3
H,376.3521277399849,3,2
H,377.1067762660619,3,3
H,377.300275888133,3,2
H,378.13232426303847,3,3
H,378.24842403628116,3,2
H,380.2608201058201,3,3
H,382.0183333333333,3,3
H,383.8759297052154,3,3
H,384.74667800453517,3,2
H,385.7722260015116,3,2
H,386.72037414965985,3,3
H,387.78462207105065,3,3
H,390.06791761148895,3,3
H,392.0222637944066,3,2
H,393.00911186696896,3,3
H,393.93791005291007,3,2
H,394.84735827664394,3,3
H,395.93095616024186,3,2
H,396.2405555555555,3,3
H,396.64690476190475,3,2
H,397.0145540438398,3,3
H,397.3241534391534,3,2
H,397.6370861678004,3,3
H,397.90798563869987,3,2
H,398.2756349206349,3,3
H,398.9722335600907,3,3
L,0,399.4245200302345,412.4245200302345
P,3,0.4.5.,13.5.6.
H,400.15258125472405,3,3
H,401.08137944066516,3,3
H,401.99082766439903,3,3
H,402.93897581254726,3,3
H,403.5775245653817,3,2
L,5,404.2855234315947,415.2855234315947
P,3,0.4.5.,13.5.11.
H,405.0287717309145,3,2
H,405.9575699168556,3,3
H,407.09921768707477,3,3
H,407.9312660619803,3,2
H,409.98236205593344,3,2
H,412.0334580498866,3,3
H,414.0845540438397,3,2
H,415.9388170823884,3,3
H,418.0479629629629,3,2
H,420.07970899470894,3,3
H,420.56345804988655,3,2
H,421.04720710506416,3,3
H,421.4342063492063,3,2
H,421.8018556311413,3,3
H,422.34365457294024,3,2
H,423.04025321239607,3,3
H,423.9884013605442,3,3
H,425.981447467876,3,3
H,426.48454648526075,3,2
H,426.96829554043836,3,3
H,427.3552947845804,3,2
H,427.74229402872254,3,3
H,428.9226417233559,3,3
H,429.90948979591826,3,2
H,432.2124981103552,3,3
H,432.5220975056689,3,2
H,434.2635941043084,3,3
H,434.553843537415,3,2
H,436.15989040060464,3,3
H,436.29534013605445,3,2
H,438.1335865457293,3,3
H,438.2303363567649,3,2
H,440.10728269085416,3,3
H,440.2427324263038,3,2
H,441.94552910052903,3,3
H,442.31317838246406,3,2
H,444.0159750566893,3,3
H,444.8286734693878,3,2
H,445.8542214663644,3,2
H,447.9213340891912,3,3
H,449.04363189720334,3,2
H,449.99178004535145,3,2
H,450.456179138322,3,2
H,450.92057823129244,3,2
H,453.0877739984883,3,2
H,454.0746220710506,3,3
H,455.235619803477,3,3
H,455.7000188964474,3,3
H,456.14506802721087,3,3
H,457.9833144368859,3,3
H,458.931462585034,3,2
H,459.9763605442177,3,2
H,460.42140967498096,3,2
H,460.9051587301587,3,2
H,462.9369047619047,3,2
H,464.078552532124,3,3
H,465.16548374905517,3,3
H,466.09428193499616,3,2
H,467.04243008314444,3,2
H,467.9325283446712,3,3
H,469.0161262282691,3,3
H,469.4805253212395,3,2
H,469.9642743764172,3,3
H,470.93177248677245,3,3
H,471.957320483749,3,2
H,473.0989682539683,3,3
H,474.0664663643235,3,2
H,475.05331443688584,3,3
H,476.02081254724106,3,2
H,477.06571050642475,3,3
H,477.5494595616025,3,2
H,478.9039569160998,3,3
H,479.4651058201058,3,2
H,480.5487037037037,3,3
H,481.396768707483,3,2
H,481.84181783824647,3,3
H,482.90606575963704,3,2
H,483.35111489040054,3,3
H,484.24121315192747,3,2
H,485.2474111866969,3,2
H,485.7311602418745,3,3
H,486.73735827664393,3,3
H,487.2017573696145,3,2
H,488.1499055177626,3,2
H,489.04000377928935,3,2
H,489.4270030234315,3,3
H,490.3751511715798,3,3
H,490.800850340136,3,2
H,491.59419879062733,3,2
H,492.464947089947,3,2
H,494.34189342403624,3,2
F,7.0
